ensembl_gene_id_version,SRR1145636,SRR1145638,SRR1145637,SRR1145639,SRR1145640,SRR1145642,SRR1145641,SRR1145644,SRR1145643,SRR1145645,SRR1145646,SRR1145647
ENSG00000000003.14,1507,1704,1274,1369,1548,1145,1477,1488,2054,1413,1807,1669
ENSG00000000005.5,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000000419.12,829,1188,949,908,1014,1081,1020,888,1168,938,930,885
ENSG00000000457.13,312,370,369,293,251,302,352,279,315,262,288,292
ENSG00000000460.16,302,398,382,353,228,413,358,287,382,155,173,197
ENSG00000000938.12,2,5,2,0,0,0,5,0,1,1,1,0
ENSG00000000971.15,2906,1959,2061,3163,1960,1324,3550,2631,2430,4582,5638,4678
ENSG00000001036.13,3337,3782,3671,2797,2751,3073,2795,2897,3493,2874,2966,2864
ENSG00000001084.10,802,989,871,780,765,823,846,794,884,810,873,828
ENSG00000001167.14,1483,1308,1279,1491,1232,1270,1239,1671,1463,1459,1433,1429
ENSG00000001460.17,594,451,585,388,329,414,376,281,277,311,263,272
ENSG00000001461.16,2446,1534,2385,1192,953,1555,1288,1270,1067,1273,1148,1229
ENSG00000001497.16,1080,942,1120,1238,702,1234,1073,1124,1112,962,887,883
ENSG00000001561.6,33,45,28,344,525,20,422,141,128,52,28,28
ENSG00000001617.11,17610,11974,17446,7171,3869,16033,7285,8233,6967,1580,1256,1458
ENSG00000001626.14,0,0,1,0,0,0,0,0,1,0,0,0
ENSG00000001629.9,2791,2138,2512,3016,2559,2404,2655,2799,2302,2415,2357,2386
ENSG00000001630.15,1828,2579,1965,1363,1308,1603,1953,1700,1644,1936,1665,1818
ENSG00000001631.15,1081,1064,1107,923,820,1002,1022,981,891,858,889,854
ENSG00000002016.17,269,219,261,253,206,186,282,210,223,236,194,197
ENSG00000002079.12,17,7,32,31,31,38,29,39,32,0,1,1
ENSG00000002330.13,1354,1298,1189,1295,1440,1233,1353,1193,1266,1251,1084,1055
ENSG00000002549.12,1383,1884,1249,2945,2641,1315,3003,2578,2717,3374,4211,4515
ENSG00000002586.18,13237,15950,14678,13921,19513,11495,16572,14987,16804,14166,12943,13309
ENSG00000002586.18_PAR_Y,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000002587.9,568,372,732,49,55,39,109,56,58,59,36,37
ENSG00000002726.20,1,1,1,1,0,0,0,1,1,0,0,1
ENSG00000002745.12,1,0,0,0,0,0,0,2,0,1,0,3
ENSG00000002746.14,1,0,1,1,1,1,0,1,1,0,0,1
ENSG00000002822.15,716,686,678,805,679,790,779,743,666,650,589,620
ENSG00000002834.17,21191,17915,21941,19821,17485,21119,18131,20011,17462,16371,14398,14871
ENSG00000002919.14,738,612,677,749,722,708,688,787,781,773,738,755
ENSG00000002933.7,0,0,0,1,1,0,1,0,0,0,1,0
ENSG00000003056.7,3717,3840,4310,3169,3830,3743,3083,3495,3840,3910,3561,3728
ENSG00000003096.13,259,238,125,404,281,251,426,403,444,163,113,132
ENSG00000003137.8,2,4,8,372,109,48,244,199,206,67,50,66
ENSG00000003147.17,916,922,844,821,896,825,1094,900,980,776,907,799
ENSG00000003249.13,360,653,262,3102,3330,2388,3428,3111,3131,2973,2498,2671
ENSG00000003393.14,1824,1404,1678,2766,2108,2191,2329,2189,1994,1537,1276,1429
ENSG00000003400.14,1053,1141,906,1431,1055,898,1694,1450,1535,1234,1440,1250
ENSG00000003402.19,7578,7778,7962,8379,9410,6263,8458,8170,7919,10326,9461,9964
ENSG00000003436.14,15814,16458,13936,8635,8071,8063,11565,7040,8347,7637,12971,9674
ENSG00000003509.15,570,625,546,665,609,677,632,569,700,483,452,474
ENSG00000003756.16,3675,3047,3720,3479,2980,3145,3786,3389,3372,3260,3434,3236
ENSG00000003987.13,46,40,51,49,49,69,62,51,63,45,82,57
ENSG00000003989.16,185,295,193,1330,537,562,1213,1670,1642,177,237,219
ENSG00000004059.10,3170,3536,3048,2971,3171,2709,3623,2900,3467,2372,2526,2669
ENSG00000004139.13,90,106,97,192,154,30,170,95,89,238,202,218
ENSG00000004142.11,2922,3214,3082,3436,2885,3451,3656,3345,3602,2446,2467,2555
ENSG00000004399.12,40518,23034,37499,30868,21780,24740,26323,34156,20666,32945,23059,27130
ENSG00000004455.16,2161,2610,2353,2694,2364,2679,2749,2617,3068,2436,2529,2430
ENSG00000004468.12,365,454,172,7,2,4,4,3,3,1533,3295,2645
ENSG00000004478.7,2746,2634,2754,4215,2813,3453,3533,3720,3549,2365,1972,2112
ENSG00000004487.15,3769,3958,3737,4359,3779,4528,4414,4582,4504,2221,2338,2535
ENSG00000004534.14,2356,1649,2286,2506,1884,2278,2491,2518,2096,1909,1859,2005
ENSG00000004660.14,311,254,388,232,191,279,220,139,131,197,132,152
ENSG00000004700.15,3325,3896,3706,3225,3139,3634,3223,3175,2774,3490,3870,3837
ENSG00000004766.15,1177,1138,1154,877,991,1112,1023,956,732,930,915,956
ENSG00000004776.11,339,358,304,279,79,250,335,108,162,40,47,64
ENSG00000004777.18,292,231,361,252,125,378,221,183,194,161,147,156
ENSG00000004779.9,1357,2022,1417,1624,1710,1726,1706,1574,2080,1455,1506,1479
ENSG00000004799.7,2000,1079,999,653,417,301,797,351,331,680,756,442
ENSG00000004809.13,3,3,2,0,0,0,0,0,0,0,0,3
ENSG00000004838.13,4,3,8,1,2,3,2,8,2,3,2,0
ENSG00000004846.16,6,0,3,0,0,0,1,0,2,1,0,0
ENSG00000004848.7,0,0,0,2,1,0,0,1,0,1,0,0
ENSG00000004864.13,1140,1373,1304,1184,1285,1538,1136,1416,1576,986,988,1056
ENSG00000004866.19,721,731,860,824,849,914,745,741,795,539,645,602
ENSG00000004897.11,3379,3988,3806,3732,3254,4640,4022,3815,3629,3019,3116,3251
ENSG00000004939.13,0,1,1,1,0,0,1,0,0,0,0,0
ENSG00000004948.13,0,0,0,0,0,0,0,0,0,0,1,0
ENSG00000004961.14,1122,1209,1134,1115,1237,1329,1078,1102,1279,1066,979,994
ENSG00000004975.11,1362,1119,1357,1039,968,1219,1259,1065,983,863,799,895
ENSG00000005001.9,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000005007.12,3660,3058,3508,3771,2638,3451,3322,3831,2786,3156,3300,3080
ENSG00000005020.12,3250,2874,3117,2309,2450,2921,2671,2661,2032,3616,3151,3280
ENSG00000005022.5,7031,9850,7436,9973,8004,8965,12231,8994,11466,5706,6880,6829
ENSG00000005059.15,927,1405,1090,1019,986,824,1397,904,1085,978,944,1098
ENSG00000005073.5,373,263,348,1,0,1,0,2,0,251,184,204
ENSG00000005075.15,887,823,870,903,818,930,962,885,872,906,817,736
ENSG00000005100.12,1490,1389,1359,1711,966,1566,1436,1577,1449,1420,1456,1617
