Animal,Day,Status,ECConc,PgConc,CORTConc,LogPg,LogEC,LogCORT
Akela02,1,NotPreg,NA,50.4,NA,3.919991175077323,NA,NA
Akela02,2,NotPreg,NA,58.598,NA,4.0707005663077025,NA,NA
Akela02,4,NotPreg,NA,43.193,NA,3.7656784450836085,NA,NA
Akela02,5,NotPreg,NA,26.232,NA,3.266980039542347,NA,NA
Akela02,6,NotPreg,NA,19.185,NA,2.9541287236989158,NA,NA
Akela02,7,NotPreg,NA,27.333,NA,3.308094763399831,NA,NA
Akela02,8,NotPreg,NA,33.315,NA,3.5060077460145003,NA,NA
Akela02,9,NotPreg,NA,15.026,NA,2.709782033946969,NA,NA
Akela02,13,NotPreg,NA,16.411,NA,2.7979518416974907,NA,NA
Akela02,14,NotPreg,NA,24.403,NA,3.1947060755609957,NA,NA
Akela02,19,NotPreg,NA,11.703,NA,2.459845219192629,NA,NA
Akela02,21,NotPreg,NA,19.531,NA,2.9720029468547544,NA,NA
Akela02,23,NotPreg,NA,17.54,NA,2.864483986944037,NA,NA
Akela02,26,NotPreg,NA,17.175,NA,2.8434548381084133,NA,NA
Akela02,27,NotPreg,NA,35.771,NA,3.5771375092681885,NA,NA
Akela02,28,NotPreg,NA,19.217,NA,2.95579530395029,NA,NA
Akela02,29,NotPreg,NA,20.367,NA,3.0139159439876195,NA,NA
Akela02,36,NotPreg,NA,30.529,NA,3.4186770515428004,NA,NA
Akela02,40,NotPreg,NA,23.403,NA,3.1528642192742855,NA,NA
Akela02,41,NotPreg,NA,22.737,NA,3.1239935534980017,NA,NA
Akela02,43,NotPreg,NA,10.329,NA,2.3349554730244964,NA,NA
Akela02,44,NotPreg,NA,30.541,NA,3.4190700431967858,NA,NA
Akela02,47,NotPreg,NA,24.797,NA,3.2107226781118134,NA,NA
Akela02,49,NotPreg,NA,17.091,NA,2.838552009166368,NA,NA
Akela02,50,NotPreg,NA,11.213,NA,2.417073819478744,NA,NA
Akela02,51,NotPreg,NA,6.693,NA,1.901062204118505,NA,NA
Akela02,56,NotPreg,NA,19.909,NA,2.991171890797659,NA,NA
Akela02,57,NotPreg,NA,20.889,NA,3.039222704628519,NA,NA
Akela02,58,NotPreg,NA,8.437,NA,2.1326267951834894,NA,NA
Akela02,59,NotPreg,NA,8.102,NA,2.0921109447804986,NA,NA
Akela02,60,NotPreg,NA,13.659,NA,2.6143986450207546,NA,NA
Akela02,62,NotPreg,NA,6.094,NA,1.8073046805635173,NA,NA
Akela02,63,NotPreg,NA,10.025,NA,2.305081973192633,NA,NA
Akela02,64,NotPreg,NA,9.154,NA,2.2141909422314505,NA,NA
Akela02,65,NotPreg,NA,13.969,NA,2.6368405887454136,NA,NA
Aruna02,2,PregSuccess,NA,14.534,NA,2.676490732194444,NA,NA
Aruna02,4,PregSuccess,NA,66.869,NA,4.202735481564956,NA,NA
Aruna02,6,PregSuccess,NA,65.314,NA,4.179206408402581,NA,NA
Aruna02,8,PregSuccess,NA,38.307,NA,3.645632647110654,NA,NA
Aruna02,9,PregSuccess,NA,68.076,NA,4.220624728132431,NA,NA
Aruna02,10,PregSuccess,NA,80.814,NA,4.3921502178447325,NA,NA
Aruna02,11,PregSuccess,NA,42.643,NA,3.752863133855484,NA,NA
Aruna02,13,PregSuccess,NA,22.481,NA,3.112670508021872,NA,NA
Aruna02,16,PregSuccess,NA,7.951,NA,2.0732977069193463,NA,NA
Aruna02,18,PregSuccess,NA,75.796,NA,4.328045520807368,NA,NA
Aruna02,20,PregSuccess,NA,85.706,NA,4.450922834821643,NA,NA
Aruna02,23,PregSuccess,NA,143.409,NA,4.965700687702375,NA,NA
Aruna02,27,PregSuccess,NA,101.532,NA,4.620374019730364,NA,NA
Aruna02,30,PregSuccess,NA,44.161,NA,3.787842046639984,NA,NA
Aruna02,34,PregSuccess,NA,77.511,NA,4.350419861771284,NA,NA
Aruna02,37,PregSuccess,NA,183.942,NA,5.2146204905262366,NA,NA
Aruna02,41,PregSuccess,NA,134.102,NA,4.898600704419519,NA,NA
Aruna02,44,PregSuccess,NA,199.204,NA,5.294329425270176,NA,NA
Aruna02,48,PregSuccess,NA,211.532,NA,5.354376287278013,NA,NA
Aruna02,51,PregSuccess,NA,70.82,NA,4.2601414466837575,NA,NA
Aruna02,55,PregSuccess,NA,86.136,NA,4.455927442513416,NA,NA
Aruna02,61,PregSuccess,NA,78.589,NA,4.364231740531956,NA,NA
Aruna02,65,PregSuccess,NA,61.269,NA,4.115274005403131,NA,NA
Bela14,1,WithFemales,46.821,0.585,2.82919609,-0.5361434317502807,3.846331820228526,1.039992604162625
Bela14,2,WithFemales,35.048,0.953,3.087859122,-0.048140375327934984,3.5567185505115972,1.1274780100078654
Bela14,5,WithFemales,49.088,0.334,1.386936038,-1.0966142860054366,3.893614605744791,0.3270970249124634
Bela14,7,WithFemales,36.727,0.497,0.390394965,-0.6991652528855083,3.6035121793926344,-0.9405963215550556
Bela14,9,WithFemales,47.163,0.549,0.681946422,-0.5996568374726063,3.8536096868774865,-0.38280418434198465
Bela14,12,WithFemales,50.396,0.473,1.38847927,-0.7486598904902041,3.919911806848383,0.32820909787292835
Bela14,14,WithFemales,46.869,1.146,2.136835572,0.13627761829254775,3.847356476097876,0.7593260299981488
Bela14,16,WithFemales,29.003,0.494,1.38171001,-0.7052197617942145,3.3673992729119324,0.3233218697528038
Bela14,19,WithFemales,49.136,0.581,1.336170385,-0.5430045221302259,3.8945919636984665,0.28980760066535993
Bela14,21,WithFemales,31.43,0.184,0.527063878,-1.6928195213731514,3.447762850809476,-0.6404335271600032
Bela14,23,WithFemales,40.846,0.37,2.541970658,-0.9942522733438669,3.709808897294966,0.9329396298210204
