season,episode,title,imdb_rating,total_votes,air_date,director
1,1,Pilot,7.6,3706,2005-03-24,Ken Kwapis
1,2,Diversity Day,8.3,3566,2005-03-29,Ken Kwapis
1,3,Health Care,7.9,2983,2005-04-05,Ken Whittingham
1,4,The Alliance,8.1,2886,2005-04-12,Bryan Gordon
1,5,Basketball,8.4,3179,2005-04-19,Greg Daniels
1,6,Hot Girl,7.8,2852,2005-04-26,Amy Heckerling
2,1,The Dundies,8.7,3213,2005-09-20,Greg Daniels
2,2,Sexual Harassment,8.2,2736,2005-09-27,Ken Kwapis
2,3,Office Olympics,8.4,2742,2005-10-04,Paul Feig
2,4,The Fire,8.4,2713,2005-10-11,Ken Kwapis
2,5,Halloween,8.2,2561,2005-10-18,Paul Feig
2,6,The Fight,8.2,2550,2005-11-01,Ken Kwapis
2,7,The Client,8.6,2631,2005-11-08,Greg Daneils
2,8,Performance Review,8.2,2416,2005-11-15,Paul Feig
2,9,E-Mail Surveillance,8.4,2527,2005-11-22,Paul Feig
2,10,Christmas Party,8.8,2755,2005-12-06,Charles McDougall
2,11,Booze Cruise,8.6,2679,2006-01-05,Ken Kwapis
2,12,The Injury,9,3282,2006-01-12,Bryan Gordon
2,13,The Secret,8.3,2363,2006-01-19,Dennie Gordon
2,14,The Carpet,7.9,2342,2006-01-26,Victor Nelli Jr.
2,15,Boys and Girls,8.2,2323,2006-02-02,Dennie Gordon
2,16,Valentine's Day,8.3,2345,2006-02-09,Greg Daniels
2,17,Dwight's Speech,8.4,2463,2006-03-02,Charles McDougal
2,18,Take Your Daughter to Work Day,8.3,2415,2006-03-16,Victor Nelli Jr.
2,19,Michael's Birthday,8.1,2337,2006-03-30,Ken Wittingham
2,20,Drug Testing,8.4,2397,2006-04-27,Greg Daniels
2,21,Conflict Resolution,8.7,2440,2006-05-04,Greg Daniels
2,22,Casino Night,9.3,3644,2006-05-11,Greg Daniels
3,1,Gay Witch Hunt,8.9,3087,2006-09-21,Ken Kwapis
3,2,The Convention,8.2,2275,2006-09-28,Ken Whittingham
3,3,The Coup,8.5,2388,2006-10-05,Greg Daniels
3,4,Grief Counseling,8,2311,2006-10-12,Roger Nygard
3,5,Initiation,8.2,2254,2006-10-19,Randall Einhorn
3,6,Diwali,8,2320,2006-11-02,Miguel Arteta
3,7,Branch Closing,8.5,2260,2006-11-09,Tucker Gates
3,8,The Merger,8.7,2376,2006-11-16,Ken Whittingham
3,9,The Convict,8.2,2373,2006-11-30,Jeffrey Blitz
3,10,A Benihana Christmas,8.7,2541,2006-12-14,Harold Ramis
3,12,Traveling Salesmen,8.6,2316,2007-01-11,Julian Farino
3,13,The Return,8.8,2430,2007-01-18,Greg Daniels
3,14,Ben Franklin,8.2,2254,2007-02-01,Greg Daniels
3,15,Phyllis' Wedding,8.3,2283,2007-02-08,Randall Einhorn
3,16,Business School,8.8,2622,2007-02-15,Ken Whittingham
3,17,Cocktails,8.5,2264,2007-02-22,Joss Whedon
3,18,The Negotiation,8.9,2555,2007-04-05,J.J. Abrams
3,19,Safety Training,8.8,2424,2007-04-12,Jeffrey Blitz
3,20,Product Recall,8.7,2409,2007-04-26,Harold Ramis
3,21,Women's Appreciation,8.8,2403,2007-05-03,Randall Einhorn
3,22,Beach Games,9.1,2783,2007-05-10,Tucker Gates
