year,region,state,unit_name,unit_type,visitors,pop,gas_price
2006,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,200054,4219239,2.59
2007,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,202950,4256672,2.8
2008,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,200404,4289878,3.27
2009,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,221111,4317074,2.35
2010,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,177122,4349838,2.79
2011,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,163568,4370038,3.53
2012,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,169515,4383465,3.64
2013,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,163928,4399583,3.53
2014,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,241264,4413457,3.37
2015,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,148605,4425092,2.45
2006,NE,ME,Acadia National Park,National Park,2083588,1323619,2.59
2007,NE,ME,Acadia National Park,National Park,2202228,1327040,2.8
2008,NE,ME,Acadia National Park,National Park,2075857,1330509,3.27
2009,NE,ME,Acadia National Park,National Park,2227698,1329590,2.35
2010,NE,ME,Acadia National Park,National Park,2504208,1327361,2.79
2011,NE,ME,Acadia National Park,National Park,2374645,1327930,3.53
2012,NE,ME,Acadia National Park,National Park,2431052,1328592,3.64
2013,NE,ME,Acadia National Park,National Park,2254922,1328702,3.53
2014,NE,ME,Acadia National Park,National Park,2563129,1330089,3.37
2015,NE,ME,Acadia National Park,National Park,2811184,1329328,2.45
2006,NE,MA,Adams National Historical Park,National Historical Park,225318,6410084,2.59
2007,NE,MA,Adams National Historical Park,National Historical Park,224880,6431559,2.8
2008,NE,MA,Adams National Historical Park,National Historical Park,241536,6468967,3.27
2009,NE,MA,Adams National Historical Park,National Historical Park,253656,6517613,2.35
2010,NE,MA,Adams National Historical Park,National Historical Park,73339,6564073,2.79
2011,NE,MA,Adams National Historical Park,National Historical Park,219975,6612270,3.53
2012,NE,MA,Adams National Historical Park,National Historical Park,336031,6655829,3.64
2013,NE,MA,Adams National Historical Park,National Historical Park,285501,6708874,3.53
2014,NE,MA,Adams National Historical Park,National Historical Park,178468,6745408,3.37
2015,NE,MA,Adams National Historical Park,National Historical Park,183632,6794422,2.45
2010,NE,NY,African Burial Ground National Monument,National Monument,117113,19400867,2.79
2011,NE,NY,African Burial Ground National Monument,National Monument,108585,19521745,3.53
2012,NE,NY,African Burial Ground National Monument,National Monument,77624,19607140,3.64
2013,NE,NY,African Burial Ground National Monument,National Monument,93234,19695680,3.53
2014,NE,NY,African Burial Ground National Monument,National Monument,54861,19746227,3.37
2015,NE,NY,African Burial Ground National Monument,National Monument,56348,19795791,2.45
2006,MW,NE,Agate Fossil Beds National Monument,National Monument,13521,1772693,2.59
2007,MW,NE,Agate Fossil Beds National Monument,National Monument,12997,1783440,2.8
2008,MW,NE,Agate Fossil Beds National Monument,National Monument,12425,1796378,3.27
2009,MW,NE,Agate Fossil Beds National Monument,National Monument,12694,1812683,2.35
2010,MW,NE,Agate Fossil Beds National Monument,National Monument,12509,1829865,2.79
2011,MW,NE,Agate Fossil Beds National Monument,National Monument,11617,1842232,3.53
2012,MW,NE,Agate Fossil Beds National Monument,National Monument,11824,1855487,3.64
2013,MW,NE,Agate Fossil Beds National Monument,National Monument,10504,1868969,3.53
2014,MW,NE,Agate Fossil Beds National Monument,National Monument,12440,1881503,3.37
2015,MW,NE,Agate Fossil Beds National Monument,National Monument,13264,1896190,2.45
2006,IM,TX,Alibates Flint Quarries National Monument,National Monument,1882,23359580,2.59
2007,IM,TX,Alibates Flint Quarries National Monument,National Monument,4028,23831983,2.8
2008,IM,TX,Alibates Flint Quarries National Monument,National Monument,2297,24309039,3.27
2009,IM,TX,Alibates Flint Quarries National Monument,National Monument,2918,24801761,2.35
2010,IM,TX,Alibates Flint Quarries National Monument,National Monument,4350,25245717,2.79
2011,IM,TX,Alibates Flint Quarries National Monument,National Monument,3214,25657477,3.53
2012,IM,TX,Alibates Flint Quarries National Monument,National Monument,3383,26094422,3.64
2013,IM,TX,Alibates Flint Quarries National Monument,National Monument,1555,26505637,3.53
2014,IM,TX,Alibates Flint Quarries National Monument,National Monument,4513,26956958,3.37
2015,IM,TX,Alibates Flint Quarries National Monument,National Monument,9492,27469114,2.45
2006,NE,PA,Allegheny Portage Railroad National Historic Site,National Historic Site,121009,12510809,2.59
2007,NE,PA,Allegheny Portage Railroad National Historic Site,National Historic Site,123215,12563937,2.8
2008,NE,PA,Allegheny Portage Railroad National Historic Site,National Historic Site,113991,12612285,3.27
2009,NE,PA,Allegheny Portage Railroad National Historic Site,National Historic Site,118931,12666858,2.35
2010,NE,PA,Allegheny Portage Railroad National Historic Site,National Historic Site,107363,12711077,2.79
2011,NE,PA,Allegheny Portage Railroad National Historic Site,National Historic Site,118410,12743995,3.53
2012,NE,PA,Allegheny Portage Railroad National Historic Site,National Historic Site,138864,12770043,3.64
2013,NE,PA,Allegheny Portage Railroad National Historic Site,National Historic Site,107977,12781296,3.53
